Welcome to the profile statistics browser.
cProfiled.rmm.pool% cProfiled.rmm.pool% Wed May 11 16:21:45 2022    cProfiled.rmm.pool

         11575143 function calls (11544055 primitive calls) in 75.363 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    11424    0.009    0.000    0.009    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/cupy/linalg/_einsum.py:588(<genexpr>)
     5712    0.009    0.000    0.013    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/cupy/_core/_gufuncs.py:96(<listcomp>)
     2560    0.009    0.000    0.010    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/pkg_resources/_vendor/packaging/version.py:444(_cmpkey)
     3795    0.009    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
    19068    0.009    0.000    0.014    0.000 {built-in method builtins.setattr}
    17136    0.009    0.000    0.009    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/cupy/linalg/_einsum.py:557(<genexpr>)
     3235    0.009    0.000    0.014    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/posixpath.py:71(join)
     5972    0.009    0.000    0.016    0.000 {built-in method builtins.all}
    11436    0.009    0.000    0.009    0.000 {built-in method numpy.promote_types}
    23117    0.008    0.000    0.008    0.000 {method 'pop' of 'list' objects}
        1    0.008    0.008    0.008    0.008 {built-in method _posixsubprocess.fork_exec}
    22851    0.008    0.000    0.008    0.000 {built-in method from_iterable}
     2064    0.008    0.000    0.038    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numpy/core/fromnumeric.py:69(_wrapreduction)
    21356    0.008    0.000    0.008    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/numpy/core/multiarray.py:498(can_cast)
    14900    0.008    0.000    0.008    0.000 {method 'rpartition' of 'str' objects}
   1897/4    0.008    0.000   11.593    2.898 <frozen importlib._bootstrap_external>:844(exec_module)
      185    0.008    0.000    0.019    0.000 /home/uvxj3hd/.local/opt/conda/envs/rapids-22.04/lib/python3.9/site-packages/tqdm/std.py:355(format_meter)
